iata_code,latitude_deg,longitude_deg,iso_region
JUU,71.538769,-53.205038,GL-AV
JNS,60.917283,-46.059923,GL-KU
NIQ,70.789385,-53.662945,GL-AV
NSQ,74.109853,-57.065037,GL-AV
JFR,62.014736,-49.670937,GL-SE
PQT,69.995861,-51.300917,GL-AV
NAQ,77.488602,-69.388702,GL-AV
QJH,60.780959,-47.156249,GL-KU
OBY,70.488229,-21.97168,GL-SE
SFJ,67.010446,-50.715294,GL-QA
SGG,65.90592,-36.378254,GL-SE
SRK,77.786517,-70.638657,GL-AV
QOQ,60.537778,-46.024722,GL-KU
JHS,66.951302,-53.729301,GL-QA
SAE,70.811172,-51.63129,GL-AV
SVR,76.018613,-65.117683,GL-AV
TQA,73.373055,-56.06028,GL-AV
THU,76.531197,-68.703201,GL-AV
TQI,65.892027,-37.783409,GL-SE
XEQ,60.194305,-44.813447,GL-KU
JUV,72.790199,-56.1306,GL-AV
UMD,70.680428,-52.11163,GL-AV
JQA,70.7342,-52.696201,GL-AV
JUK,71.049438,-51.890016,GL-AV
BHL,28.9786,-113.560997,MX-BCN
BHT,-23.363333,141.562778,AU-QLD
AEY,65.656573,-18.072018,IS-6
BIU,65.641296,-23.5462,IS-4
BGJ,65.516769,-13.81578,IS-7
BJD,66.02189636,-14.82439995,IS-6
BLO,65.644997,-20.2875,IS-5
BXV,64.790037,-14.043927,IS-7
DJU,64.642372,-14.277297,IS-7
EGS,65.28330231,-14.40139961,IS-7
FAS,64.931456,-14.047957,IS-7
FAG,63.874699,-16.6411,IS-7
GUU,64.991402,-23.224701,IS-3
GJR,65.9953,-21.3269,IS-4
GRY,66.5458,-18.0173,IS-6
HVK,65.704697,-21.6964,IS-4
HFN,64.295601,-15.2272,IS-8
FLI,66.01418043,-23.4416914,IS-4
HZK,65.952301,-17.426001,IS-6
HLO,66.05000305,-23.69610023,IS-4
IFJ,66.058098,-23.1353,IS-4
KEF,63.985001,-22.6056,IS-2
OPA,66.310799,-16.4667,IS-6
SAK,65.73169708,-19.57279968,IS-5
NOR,65.131897,-13.7464,IS-7
OFJ,66.083298,-18.6667,IS-6
PFJ,65.555801,-23.965,IS-4
RHA,65.45262909,-22.20611572,IS-4
OLI,64.9114,-23.823099,IS-3
RFN,66.406403,-15.9183,IS-6
RKV,64.128732,-21.93759,IS-1
MVA,65.6558,-16.9181,IS-6
SIJ,66.137847,-18.908157,IS-6
SYK,65.058851,-22.764616,IS-3
TEY,65.8703,-23.559999,IS-4
THO,66.218498,-15.3356,IS-6
VEY,63.42430115,-20.27890015,IS-8
VPN,65.720596,-14.8506,IS-7
BJE,11.19944444,28.52305556,SD-13
BJQ,19.87305556,56.06777778,OM-WU
BJT,6.431,79.996,LK-1
PRN,42.5728,21.035801,XK-01
BMQ,-3.983363,39.730982,KE-300
BNF,57.088799,-134.833146,US-AK
BNV,-6.426631,146.826697,PG-MPL
BVL,-13.654426,-63.704718,BO-B
BOV,-3.3834,153.2812,PG-NIK
BQV,58.4552,-135.884995,US-AK
CJZ,-6.8827,-38.61583,BR-PB
VDC,-14.907885,-40.914804,BR-BA
CMP,-9.319906,-50.328536,BR-PA
AAI,-13.025154,-46.884107,BR-TO
ITN,-14.8105,-39.290401,BR-BA
LEP,-21.468226,-42.727076,BR-MG
CPU,-1.820006,-44.864065,BR-MA
CTQ,-33.502038,-53.344911,BR-RS
APY,-9.08533,-45.955603,BR-MA
JRN,-10.305833,-58.489445,BR-MT
STZ,-10.464722,-50.518612,BR-MT
MTG,-14.995499,-59.945662,BR-MT
ALT,-1.917,-54.7231,BR-PA
NSB,25.767,-79.25,BS-BI
BSV,-15.6725,47.061667,MG-M
BTZ,5.79,101.15,TH-95
HUK,-23.9897,21.758101,BW-KG
BWJ,-6.396944444,146.8816667,PG-MPL
BXL,-16.943,177.368,FJ-W
TXC,54.439999,30.2967,BY-VI
BYA,64.077678,-141.122088,US-AK
BYL,7.369166667,-9.993722222,LR-LO
BYV,6.929444444,79.85416667,LK-1
BCV,17.269603,-88.776496,BZ-CY
BGK,16.519369,-88.407913,BZ-SC
CUK,17.735015,-88.032862,BZ-BZ
CYC,17.683792,-88.044985,BZ-BZ
CZH,18.3822,-88.411903,BZ-CZL
DGA,16.98251,-88.230988,BZ-SC
INB,16.53456,-88.441615,BZ-SC
MDB,17.004299,-88.304199,BZ-SC
ORZ,18.046767,-88.583858,BZ-OW
PND,16.1024,-88.808296,BZ-TOL
SJX,18.3561,-88.130798,BZ-CZL
SPR,17.9139,-87.9711,BZ-CY
SQS,17.185898,-89.009936,BZ-CY
STU,18.27210045,-88.45629883,BZ-CZL
SVK,16.728338,-88.369174,BZ-SC
TZA,17.517239,-88.195775,BZ-BZ
BZB,-21.5411,35.4729,MZ-I
BZM,-17.6925,45.08883333,MG-M
PFM,55.390002,-111.1198,CA-AB
YSV,58.474312,-62.653999,CA-NL
YRR,50.409447,-125.131617,CA-BC
YMV,71.324167,-79.356944,CA-NU
YHC,51.669733,-128.08181,CA-BC
